Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
2100,0.017782,0.017738,0.039230,0.037752,0.013149,0.006204,0.000042,0.000093,0.000909,0.000226,0.008118,0.000642,0.018057,0.039300,0.041561,0.042000,0.014256,0.007571,0.000076,0.000173,0.000975,0.000361,0.000416,0.000806,0.017738,0.023940,0.024521,0.025393,0.009534,0.002158,0.000043,0.000171,0.000888,0.000147,0.000785,0.000817,0.022574,0.049709,0.052202,0.052182,0.020979,0.014764,0.000067,0.000171,0.000860,0.000140,0.017474,0.000736,
2200,0.019897,0.020130,0.041699,0.041338,0.014671,0.006807,0.000044,0.000099,0.000983,0.000239,0.009108,0.000698,0.020068,0.043838,0.046548,0.045536,0.016041,0.008379,0.000079,0.000185,0.001055,0.000389,0.000495,0.000870,0.019798,0.026533,0.036405,0.027157,0.010634,0.002389,0.000046,0.000183,0.000956,0.000157,0.002468,0.000886,0.025033,0.053839,0.057455,0.060723,0.023387,0.016514,0.000073,0.000183,0.000881,0.000150,0.019883,0.000792,
2300,0.021700,0.021803,0.051835,0.044459,0.016081,0.007252,0.000045,0.000105,0.001047,0.000256,0.010854,0.000731,0.021927,0.046636,0.049095,0.049764,0.017615,0.009039,0.000077,0.000192,0.001191,0.000460,0.000454,0.000917,0.021805,0.027434,0.027343,0.039836,0.011770,0.002161,0.000048,0.000192,0.001144,0.000160,0.001435,0.001018,0.027465,0.059153,0.061810,0.068510,0.026031,0.018017,0.000076,0.000192,0.001175,0.000212,0.021205,0.000852,
2400,0.023199,0.022557,0.049548,0.048683,0.017229,0.007557,0.000047,0.000105,0.001074,0.000270,0.010674,0.000757,0.023990,0.050305,0.054668,0.054596,0.019064,0.009796,0.000084,0.000195,0.001157,0.000440,0.000458,0.000939,0.023280,0.029263,0.030167,0.031056,0.012345,0.002264,0.000048,0.000195,0.001049,0.000168,0.000824,0.000956,0.029478,0.068755,0.068327,0.068178,0.027781,0.019623,0.000078,0.000195,0.001019,0.000160,0.021988,0.000862,
2500,0.025631,0.025046,0.056738,0.053963,0.019017,0.008613,0.000048,0.000112,0.001113,0.000271,0.011907,0.000793,0.025828,0.054931,0.059623,0.059681,0.021451,0.010739,0.000081,0.000208,0.001203,0.000445,0.000515,0.000984,0.025094,0.033460,0.034528,0.035552,0.014846,0.002929,0.000051,0.000257,0.001097,0.000194,0.000803,0.001058,0.032485,0.069257,0.074217,0.073978,0.030660,0.020988,0.000081,0.000208,0.000998,0.000173,0.024605,0.000899,
2600,0.027812,0.026710,0.058559,0.058251,0.020271,0.009378,0.000050,0.000117,0.001183,0.000332,0.012567,0.000832,0.027926,0.058712,0.065388,0.064121,0.023245,0.011511,0.000082,0.000216,0.001234,0.000460,0.000585,0.001029,0.027491,0.035540,0.037459,0.038145,0.015015,0.003100,0.000053,0.000216,0.001129,0.000223,0.001355,0.001048,0.040877,0.075431,0.080336,0.082827,0.033679,0.022530,0.000083,0.000223,0.001112,0.000179,0.026427,0.001054,
2700,0.029909,0.029033,0.062990,0.063407,0.022027,0.010232,0.000055,0.000121,0.001208,0.000306,0.013655,0.000915,0.030021,0.064220,0.072619,0.069357,0.024279,0.014587,0.000089,0.000224,0.001308,0.000487,0.000553,0.001117,0.030254,0.040227,0.039109,0.040853,0.015834,0.003262,0.000058,0.000224,0.001185,0.000201,0.000957,0.001141,0.038227,0.083134,0.086303,0.087355,0.035260,0.025121,0.000091,0.000225,0.001145,0.000187,0.029398,0.001005,
2800,0.032353,0.031036,0.068293,0.066919,0.023874,0.010868,0.000055,0.000123,0.001234,0.000298,0.014671,0.000917,0.032128,0.067364,0.074382,0.074270,0.025634,0.013673,0.000089,0.000227,0.001333,0.000497,0.000587,0.001148,0.032257,0.042418,0.042716,0.044178,0.016872,0.003582,0.000058,0.000227,0.001213,0.000213,0.001217,0.001249,0.040987,0.088634,0.092807,0.091030,0.037817,0.026766,0.000092,0.000230,0.001107,0.000191,0.031885,0.001044,
2900,0.034508,0.034429,0.073176,0.070728,0.025222,0.011359,0.000056,0.000130,0.001314,0.000324,0.015739,0.000944,0.034702,0.072966,0.080930,0.078895,0.027721,0.014514,0.000089,0.000240,0.001419,0.000527,0.000632,0.001165,0.034463,0.044213,0.045173,0.046505,0.018244,0.003634,0.000059,0.000241,0.001431,0.000220,0.000749,0.001225,0.043730,0.093567,0.098775,0.099847,0.040608,0.028906,0.000094,0.000240,0.001184,0.000204,0.032165,0.001137,
3000,0.036595,0.036380,0.077289,0.079958,0.027084,0.012338,0.000059,0.000131,0.001367,0.000333,0.016798,0.001005,0.046079,0.079206,0.084999,0.085733,0.029794,0.015549,0.000130,0.000244,0.001567,0.000547,0.000654,0.001240,0.036402,0.046612,0.046803,0.048316,0.019245,0.003581,0.000076,0.000242,0.001340,0.000226,0.001280,0.001262,0.046106,0.101175,0.106635,0.105833,0.043357,0.030598,0.000099,0.000242,0.001227,0.000210,0.036081,0.001131,
